text,label,Disease
"You might develop sign and symptom of an intracranial hematoma right after a head injury, or they may take week or longer to appear. You might seem fine after a head injury. This period is called the lucid interval. Over time, pressure on your brain increases, producing some or all of the following sign and symptoms: Headache that get worse Vomiting Drowsiness and progressive loss of consciousness Dizziness Confusion Unequal pupil size Slurred speech Loss of movement (paralysis) on the opposite side of the body from the head injury As more blood fill your brain or the narrow space between your brain and skull, other sign and symptom may appear, such as: Lethargy Seizures Unconsciousness",533,Intracranial Hematoma
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",72,Arthritis
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"chill,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"itching,skin rash,stomach pain,burning micturition,spotting  urination",308,Drug Reaction
"vomiting,breathlessness,sweating,chest pain",447,Heart Attack
I've been feeling really run down lately. I've been having a lot of trouble breathing and my nose is constantly running. I also have a lot of throat mucus and my lymph node are inflamed.,234,Common Cold
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
I have been having a lot of pain in my joint and muscles. My neck is stiff and I have a hard time moving around. I also have a lot of pain when I try to steer my car.,72,Arthritis
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,irritability,visual disturbances",630,Migraine
"Signs and symptom of myofascial pain syndrome may include: Deep, aching pain in a muscle Pain that persists or worsens A tender knot in a muscle Difficulty sleeping due to pain",665,Myofascial Pain Syndrome
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",72,Arthritis
"skin rash,pus filled pimples,blackhead,scurring",7,Acne
"skin rash,stomach pain,burning micturition,spotting  urination",308,Drug Reaction
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"fatigue,yellowish skin,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"Cystic acne Open pop-up dialog box Close Cystic acne Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cell build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Cystic acne Open pop-up dialog box Cystic acne Open pop-up dialog box Open pop-up dialog box Close Cystic acne Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cell build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Close Cystic acne Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cell build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Close Cystic acne Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cell build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Close Close Close Cystic acne Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cell build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cell build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Cystic acne — the most severe form of acne — occurs when oil and dead skin cell build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Acne sign vary depending on the severity of your condition: Whiteheads (closed plugged pores) Blackheads (open plugged pores) Small red, tender bump (papules) Pimples (pustules), which are papule with pu at their tip Large, solid, painful lump under the skin (nodules) Painful, pus-filled lump under the skin (cystic lesions) Acne usually appears on the face, forehead, chest, upper back and shoulders.",7,Acne
"fatigue,yellowish skin,nausea,yellowing of eyes,family history",466,Hepatitis C
"vomiting,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"The symptom of radiation enteritis include diarrhea, nausea, vomiting and stomach cramps. Symptoms occur because of irritation of the intestine from radiation therapy for cancer. Symptoms usually go away several week after treatment ends. But sometimes they last longer. Radiation enteritis that go on for longer can cause anemia and bowel obstruction. Risk factor The risk of radiation enteritis is higher in people undergoing radiation treatment for cancer in the belly and the pelvis. Radiation enteritis occurs because radiation therapy can cause irritation of the intestines. By Mayo Clinic Staff By Mayo Clinic Staff Radiation enteritis care at Mayo Clinic",834,Radiation Enteritis
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
I have been having a high fever for the past few days. It is especially bad at night. I also have a mild headache and have been constipated and having diarrhea.,1026,Typhoid
"I have been having frequent headache and blurred vision. I also have a stiff neck, anxiety, irritability, and visual disturbance. I have also been having stomach problems, including indigestion and acidity.",630,Migraine
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload",33,Alcoholic Hepatitis
"vomiting,sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"itching,skin rash,stomach pain,burning micturition,spotting  urination",308,Drug Reaction
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"continuous sneezing,shivering,chill,watering from eyes",35,Allergy
"A hemangioma may be present at birth, but more often appears during the first several month of life. It start a a flat red mark anywhere on the body, most often on the face, scalp, chest or back. Usually a child ha only one mark. Some child may have more than one, particularly if they're part of a multiple birth. During your child's first year, the red mark grows rapidly into a spongy, rubbery-looking bump that stick out from the skin. The hemangioma then enters a rest phase and, eventually, it begin to slowly disappear. Many hemangioma disappear by age 5, and most are gone by age 10. The skin may be slightly discolored or raised after the hemangioma go away.",457,Hemangioma
"chill,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"I've been having a headache, chest pain, dizziness, and trouble concentrating.",500,Hypertension
"Allergy symptoms, which depend on the substance involved, can affect your airways, sinus and nasal passages, skin, and digestive system. Allergic reaction can range from mild to severe. In some severe cases, allergy can trigger a life-threatening reaction known a anaphylaxis. Hay fever, also called allergic rhinitis, can cause: Hay fever, Sneezing Itching of the nose, eye or roof of the mouth Runny, stuffy nose Watery, red or swollen eye (conjunctivitis) A food allergy can cause: A food allergy Tingling in the mouth Swelling of the lips, tongue, face or throat Hives Anaphylaxis An insect sting allergy can cause: An insect sting allergy A large area of swelling (edema) at the sting site Itching or hive all over the body Cough, chest tightness, wheezing or shortness of breath Anaphylaxis A drug allergy can cause: A drug allergy Hives Itchy skin Rash Facial swelling Wheezing Anaphylaxis Atopic dermatitis, an allergic skin condition also called eczema, can cause skin to: Atopic dermatitis, Itch Redden Flake or peel Anaphylaxis Some type of allergies, including allergy to food and insect stings, can trigger a severe reaction known a anaphylaxis. A life-threatening medical emergency, anaphylaxis can cause you to go into shock. Signs and symptom of anaphylaxis include: Loss of consciousness A drop in blood pressure Severe shortness of breath Skin rash Lightheadedness A rapid, weak pulse Nausea and vomiting",34,Allergies
"joint pain,vomiting,fatigue,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"vomiting,sunken eyes,diarrhoea",402,Gastroenteritis
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
I have been having a headache for the past few days. It feel like a sharp pain in my temples. I also have chest pain and dizziness.,500,Hypertension
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
Signs and symptom of gastroparesis include: Vomiting Nausea Abdominal bloating Abdominal pain A feeling of fullness after eating just a few bite Vomiting undigested food eaten a few hour earlier Acid reflux Changes in blood sugar level Lack of appetite Weight loss and malnutrition Many people with gastroparesis don't have any noticeable sign and symptoms.,405,Gastroparesis
"chill,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"Many people with peripheral artery disease have mild or no symptoms. Some people have leg pain when walking (claudication). Claudication symptom include muscle pain or cramping in the leg or arm that begin during exercise and end with rest. The pain is most commonly felt in the calf. The pain range from mild to severe. Severe leg pain may make it hard to walk or do other type of physical activity. Other peripheral artery disease symptom may include: Coldness in the lower leg or foot, especially when compared with the other side Leg numbness or weakness No pulse or a weak pulse in the leg or foot Painful cramping in one or both of the hips, thigh or calf muscle after certain activities, such a walking or climbing stair Shiny skin on the leg Skin color change on the leg Slower growth of the toenail Sores on the toes, foot or leg that won't heal Pain when using the arms, such a aching and cramping when knitting, writing or doing other manual task Erectile dysfunction Hair loss or slower hair growth on the leg If peripheral artery disease get worse, pain may occur during rest or when lying down. The pain may interrupt sleep. Hanging the leg over the edge of the bed or walking may temporarily relieve the pain.",741,Peripheral Artery Disease
"continuous sneezing,shivering,watering from eyes",35,Allergy
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"The main sign of low sperm count is the inability to conceive a child. There might be no other obvious sign or symptoms. In some men, an underlying problem such a an inherited chromosomal abnormality, a hormonal imbalance, dilated testicular vein or a condition that block the passage of sperm may cause sign and symptoms. Low sperm count symptom might include: Problems with sexual function — for example, low sex drive or difficulty maintaining an erection (erectile dysfunction) Pain, swelling or a lump in the testicle area Decreased facial or body hair or other sign of a chromosome or hormone abnormality",588,Low Sperm Count
"muscle wasting,patches in throat,high fever,extra marital contacts",27,Aids
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"I've been feeling really sick for the past few days. I've had a high fever, chills, and intense itching. I've also been vomiting and sweating a lot. I have a headache and my muscle are sore.",596,Malaria
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"My skin is really itchy, and it sometimes break out into a rash. I also have some weird area of skin that are a different color than the rest of me, and sometimes I get little bump that look like nodules.",394,Fungal Infection
"Multiple system atrophy (MSA) affect many part of your body. Symptoms usually start in adulthood, usually in the 50 or 60s. There are two type of MSA: parkinsonian and cerebellar. The type depends on the symptom you have when you're diagnosed. MSA Parkinsonian type This is the most common type of MSA. The sign and symptom are similar to those of Parkinson's disease, such as: MSA Stiff muscle Difficulty bending your arm and leg Slow movement (bradykinesia) Tremors can occur at rest or when moving your arm or leg Soft voice Problems with posture and balance Cerebellar type The main sign and symptom are problem with muscle coordination (ataxia), but others may include: Impaired movement and coordination, such a unsteady gait and loss of balance Slurred, slow or low-volume speech (dysarthria) Visual disturbances, such a blurred or double vision and difficulty focusing your eye Difficulty swallowing (dysphagia) or chewing Changes in speech, such a slurred speech General sign and symptom In addition, the primary sign of multiple system atrophy is autonomic failure, which may cause problem with body function you can't control. This may include: Postural (orthostatic) hypotension Postural hypotension is a form of low blood pressure that make you feel dizzy or lightheaded, or even faint, when you stand up from sitting or lying down. Not everyone with MSA ha postural hypotension. MSA You can also develop dangerously high blood pressure level while lying down (supine hypertension). Urinary and bowel dysfunction Constipation Loss of bladder or bowel control (incontinence) Changes in sweat production Producing le sweat Heat intolerance due to reduced sweating Impaired body temperature control, often causing cold hand or foot Sleep disorder Agitated sleep due to ""acting out"" dream Abnormal breathing at night or a harsh breathing sound (stridor) Sexual dysfunction Inability to achieve or maintain an erection (impotence) Loss of libido Cardiovascular problem Color change in hand and foot caused by pooling of blood Psychiatric problem Difficulty controlling emotions, such a laughing or cry inappropriately",654,Multiple System Atrophy
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"A popliteal artery aneurysm may not cause any noticeable symptoms. The first symptom may be pain the lower leg that occurs with walking (claudication). Other sign and symptom of a popliteal artery aneurysm include: Knee pain Lower leg pain Swelling behind the knee Pulsing sensation behind the knee Causes An aneurysm is a ballooning in a weak spot in an artery wall. Many different thing can cause the popliteal artery wall to become weak, including: Clogged artery (atherosclerosis) High blood pressure Wear and tear of the popliteal artery due to repetitive use of the knee joint Weakening of the artery wall Risk factor Popliteal artery aneurysm are rare. They are more common in men than in women. Popiteal artery aneurysm often occur in men with abdominal aortic aneurysm (AAA), a swelling of the wall of the body's main artery (aorta). Anyone diagnosed with popliteal artery aneurysm should be screened for AAA. AAA Other risk factor for popliteal artery aneurysm include: Increasing age High blood pressure (hypertension) Smoking Narrowing of a heart valve (stenotic disease) Having three or more aneurysm anywhere in the body Complications Complications of popliteal artery aneurysm include blood clot (thrombosis) and, rarely, rupture of the aneurysm. Thrombosis of a popliteal artery aneurysm can cause a severe lack of blood flow (ischemia) in the lower leg, which may result in loss of the limb. Sudden leg ischemia can cause the following sign and symptoms: A change in skin color in the affected area No pulse behind the knee Skin in the affected area feel cold Numbness in the leg Inability to move the foot The risk of popliteal artery aneurysm rupture is low. Prevention Smoking and high blood pressure (hypertension) increase the risk of blood vessel (vascular) problem that can lead to popliteal artery and other aneurysms. Following a heart-healthy lifestyle — such a not smoking, eating a nutritious diet and getting regular exercise — can help prevent heart disease and blood vessel damage. By Mayo Clinic Staff By Mayo Clinic Staff Popliteal artery aneurysm care at Mayo Clinic",778,Popliteal Artery Aneurysm
"I've been having back pain, a cough, and weakness in my arm and legs. My neck hurts, and I've been feeling dizzy and off-balance.",186,Cervical Spondylosis
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"vomiting,headache,weakness of one body side,altered sensorium",718,Paralysis (Brain Hemorrhage)
"fatigue,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"I have pain in my stomach after eating certain foods, like hot or acidic food. I also have loose stool sometimes. Bending over or lying down make my stomach feel worse.",736,Peptic Ulcer Disease
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"chill,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
I have a lot of pain in my neck and my muscle feel weak. My joint are swollen and I have a lot of stiffness when I walk. Walking is also very uncomfortable.,72,Arthritis
"Signs and symptom of lip cancer include: A flat or slightly raised whitish discoloration of the lip A sore on your lip that won't heal Tingling, pain or numbness of the lip or the skin around the mouth",577,Lip Cancer
"I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain.",72,Arthritis
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"joint pain,neck pain,knee pain,swelling joints,painful walking",700,Osteoarthristis
"fatigue,cough,high fever,breathlessness,mucoid sputum",149,Bronchial Asthma
"itching,skin rash,fatigue,lethargy,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"continuous sneezing,shivering,chill,watering from eyes",35,Allergy
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"Symptoms of high blood sugar or low blood sugar usually develop before a diabetic coma. High blood sugar (hyperglycemia) If your blood sugar level is too high, you may have: Increased thirst Frequent urination Blurred vision Tiredness or weakness Headache Nausea and vomiting Shortness of breath Stomach pain Fruity breath odor A very dry mouth Low blood sugar (hypoglycemia) If your blood sugar is too low, you may have: Shakiness Anxiety Tiredness or drowsiness Weakness Sweating Hunger A feeling of tingling on your skin Dizziness or lightheadedness Headache Difficulty speaking Blurry vision Confusion Loss of consciousness Some people, especially those who've had diabetes for a long time, develop a condition known a hypoglycemia unawareness. That mean they don't have warning symptom that signal a drop in blood sugar. If you have any symptom of high or low blood sugar, test your blood sugar right away. Based on the test results, follow your diabetes treatment. If you don't start to feel better quickly, or you start to feel worse, get medical care right away.",287,Diabetic Coma
"skin rash,pus filled pimples,blackhead,scurring",7,Acne
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"burning micturition,bladder discomfort,continuous feel of urine",1035,Urinary Tract Infection
"muscle wasting,patches in throat,high fever,extra marital contacts",27,Aids
The symptom of cyclic vomiting syndrome often begin in the morning. Signs and symptom include: Three or more recurrent episode of vomiting that start around the same time and last for a similar length of time Varying interval of generally normal health without nausea between episode Intense nausea and sweating before an episode start Other sign and symptom during a vomiting episode may include: Abdominal pain Diarrhea Dizziness Sensitivity to light Headache Retching or gagging,262,Cyclic Vomiting Syndrome
"vomiting,headache,nausea,spinning movements,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"Strep throat infection Open pop-up dialog box Close Strep throat infection Strep throat infection Strep throat usually cause throat pain and difficulty swallowing. This photo of strep throat show inflammation and red spots, caused by the infection. Strep throat infection Open pop-up dialog box Strep throat infection Open pop-up dialog box Open pop-up dialog box Close Strep throat infection Strep throat infection Strep throat usually cause throat pain and difficulty swallowing. This photo of strep throat show inflammation and red spots, caused by the infection. Close Strep throat infection Strep throat infection Strep throat usually cause throat pain and difficulty swallowing. This photo of strep throat show inflammation and red spots, caused by the infection. Close Strep throat infection Strep throat infection Strep throat usually cause throat pain and difficulty swallowing. This photo of strep throat show inflammation and red spots, caused by the infection. Close Close Close Strep throat infection Strep throat infection Strep throat usually cause throat pain and difficulty swallowing. This photo of strep throat show inflammation and red spots, caused by the infection. Strep throat infection Strep throat usually cause throat pain and difficulty swallowing. This photo of strep throat show inflammation and red spots, caused by the infection. Strep throat usually cause throat pain and difficulty swallowing. This photo of strep throat show inflammation and red spots, caused by the infection. Signs and symptom of strep throat can include: Throat pain that usually come on quickly Painful swallowing Red and swollen tonsils, sometimes with white patch or streak of pu Tiny red spot on the area at the back of the roof of the mouth (soft or hard palate) Swollen, tender lymph node in your neck Fever Headache Rash Nausea or vomiting, especially in younger child Body ache It's possible for you or your child to have many of these sign and symptom but not have strep throat. The cause of these sign and symptom could be a viral infection or some other illness. That's why your doctor generally test specifically for strep throat. It's also possible for you to be exposed to a person who carry strep but show no symptoms.",944,Strep Throat
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",468,Hepatitis E
"vomiting,breathlessness,chest pain",447,Heart Attack
"I have a fever and a rash on my face. The rash is red and painful, and it's oozing yellow fluid.",515,Impetigo
"I have a rash that started out a small red sore near my nose and neck. The sore have gotten more painful and inflamed in recent days, and I have a high temperature.",515,Impetigo
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arm and legs. My neck hurt and I've been feeling dizzy and off balance.,186,Cervical Spondylosis
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"vomiting,headache,weakness of one body side,altered sensorium",718,Paralysis (Brain Hemorrhage)
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"vomiting,headache,spinning movements,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
I'm really tired and weak. I can barely keep my eye open. I have a fever and I don't feel like eating anything. I think I've lost my appetite.,193,Chicken Pox
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"itching,skin rash,nodal skin eruptions,dischromic  patches",394,Fungal Infection
"constipation,pain during bowel movements,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"A child or adult with wheat allergy is likely to develop sign and symptom within minute to hour after eating something containing wheat. Wheat allergy sign and symptom include: Swelling, itching or irritation of the mouth or throat Hives, itchy rash or swelling of the skin Nasal congestion Headache Difficulty breathing Cramps, nausea or vomiting Diarrhea Anaphylaxis Anaphylaxis For some people, wheat allergy may cause a life-threatening reaction called anaphylaxis. In addition to other sign and symptom of wheat allergy, anaphylaxis may cause: Swelling or tightness of the throat Chest pain or tightness Severe difficulty breathing Trouble swallowing Pale, blue skin color Dizziness or fainting",1067,Wheat Allergy
I have a stomach pain that keep me up at night. I get tired after using the bathroom and I don't want to eat. I worry all the time.,736,Peptic Ulcer Disease
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"I have a rash on my skin that is itchy and uncomfortable. It is also red and flaky. It ha been spreading to other part of my body, including my chest and abdomen. I am also facing skin peeling.",822,Psoriasis
I have a sour acidic taste in my mouth. I have frequent belching and burping. I have a feeling of pressure or fullness in my upper abdomen that last for a few hours. I have a pain in my upper abdomen that is worse when I eat.,736,Peptic Ulcer Disease
"headache,chest pain,dizziness,loss of balance,lack of concentration",501,Hypertension 
"I have been developing sore on my face and nose area for a few day now. I am not sure what is causing this. The sore on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin. I am also feeling a little bit feverish and have a headache.",515,Impetigo
"vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
I have a rash all over my body. It's really itchy and I feel really sick.,193,Chicken Pox
"Common symptom of BPH include: BPH Frequent or urgent need to pee, also called urination. Peeing more often at night. Trouble starting to pee. Weak urine stream, or a stream that stop and starts. Dribbling at the end of urination. Not being able to fully empty the bladder. Less common symptom include: Urinary tract infection. Not being able to pee. Blood in the urine. The symptom of BPH tend to slowly get worse. But sometimes they stay the same or even improve over time. BPH The size of the prostate doesn't always determine how serious the symptom are. Some people with slightly enlarged prostate can have major symptoms. Others who have very enlarged prostate can have minor problems. And some people with enlarged prostate don't have any symptom at all. Other possible cause of urinary symptom Some other health problem can lead to symptom that are like those caused by enlarged prostate. These include: Urinary tract infection. Inflamed prostate. Narrowing of the urethra, the tube that carry urine out of the body. Scarring in the bladder neck due to past surgery. Bladder or kidney stones. Problems with nerve that control the bladder. Cancer of the prostate or bladder. Some medicine also may lead to symptom that seem like those caused by BPH. These include: BPH Powerful pain-relieving medicine called opioids. Cold and allergy medicines. Older medicine for depression called tricyclic antidepressants.",108,Benign Prostatic Hyperplasia
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
"Dupuytren contracture get worse slowly, over years. The condition begin with a firm lump in the palm of the hand. This lump might be a little tender, but usually isn't painful. Over time, the lump can extend into a hard cord under the skin and up into the finger. This cord tightens and pull the finger toward the palm, sometimes severely. Dupuytren contracture most commonly affect the two finger farthest from the thumb. The condition often occurs in both hands.",316,Dupuytrens Contracture
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails",822,Psoriasis
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
